in s,C1 in V,C2 in V
6.763680E-05,1.78369E+00,2.98486E+00
6.763760E-05,1.78369E+00,3.01904E+00
6.763840E-05,1.74951E+00,2.97510E+00
6.763920E-05,1.76904E+00,2.98975E+00
6.764000E-05,1.76904E+00,3.01904E+00
6.764080E-05,1.77393E+00,3.01904E+00
6.764160E-05,1.76904E+00,2.99951E+00
6.764240E-05,1.77881E+00,3.01416E+00
6.764320E-05,1.77881E+00,3.00439E+00
6.764400E-05,1.78369E+00,3.01904E+00
6.764480E-05,1.76904E+00,2.99951E+00
6.764560E-05,1.77393E+00,2.98975E+00
6.764640E-05,1.75928E+00,2.99951E+00
6.764720E-05,1.76416E+00,3.00439E+00
6.764800E-05,1.78369E+00,2.99951E+00
6.764880E-05,1.78369E+00,3.00439E+00
6.764960E-05,1.77881E+00,3.00439E+00
6.765040E-05,1.78369E+00,2.99463E+00
6.765120E-05,1.74463E+00,2.98975E+00
6.765200E-05,1.77881E+00,2.99951E+00
6.765280E-05,1.76416E+00,2.99951E+00
6.765360E-05,1.76904E+00,3.00439E+00
6.765440E-05,1.75439E+00,3.01904E+00
6.765520E-05,1.77393E+00,3.01904E+00
6.765600E-05,1.74951E+00,3.01416E+00
6.765680E-05,1.76904E+00,3.01416E+00
6.765760E-05,1.74951E+00,2.99951E+00
6.765840E-05,1.75439E+00,3.01416E+00
6.765920E-05,1.75439E+00,3.00928E+00
6.766000E-05,1.78369E+00,3.00928E+00
6.766080E-05,1.75439E+00,3.00928E+00
6.766160E-05,1.77393E+00,3.00439E+00
6.766240E-05,1.75928E+00,3.00439E+00
