A_9 = 1.2147E+00, Δφ_9 = -1.7409E+00
A_10 = 5.2819E-01, Δφ_10 = -7.7128E-02
A_11 = 9.2800E-01, Δφ_11 = -1.7049E+00
A_12 = 1.0022E+00, Δφ_12 = -1.5956E+00
A_13 = 7.3370E-01, Δφ_13 = -1.5538E+00
A_14 = 6.8468E-01, Δφ_14 = -1.0545E+00
A_15 = 6.6993E-01, Δφ_15 = -1.5174E+00
A_16 = 7.1716E-01, Δφ_16 = -1.6927E+00
A_17 = 6.2760E-01, Δφ_17 = -1.4349E+00
A_18 = 6.4914E-01, Δφ_18 = -1.3090E+00
A_19 = 5.8258E-01, Δφ_19 = -1.4772E+00
A_20 = 5.2197E-01, Δφ_20 = -1.6030E+00
A_21 = 5.5257E-01, Δφ_21 = -1.4795E+00
A_22 = 5.4027E-01, Δφ_22 = -1.3981E+00
A_23 = 4.9954E-01, Δφ_23 = -1.5220E+00
A_24 = 4.3124E-01, Δφ_24 = -1.4950E+00
A_25 = 4.6296E-01, Δφ_25 = -1.5391E+00
A_26 = 4.6359E-01, Δφ_26 = -1.4489E+00
A_27 = 4.1749E-01, Δφ_27 = -1.5459E+00
A_28 = 4.0057E-01, Δφ_28 = -1.4811E+00
A_29 = 3.8998E-01, Δφ_29 = -1.5495E+00
A_30 = 4.0264E-01, Δφ_30 = -1.4910E+00
A_31 = 3.6081E-01, Δφ_31 = -1.5314E+00
A_32 = 3.6018E-01, Δφ_32 = -1.5126E+00
A_33 = 3.4303E-01, Δφ_33 = -1.5337E+00
A_34 = 3.5684E-01, Δφ_34 = -1.5290E+00
A_35 = 3.2196E-01, Δφ_35 = -1.5199E+00
A_36 = 3.1764E-01, Δφ_36 = -1.5323E+00
A_37 = 3.0659E-01, Δφ_37 = -1.5118E+00
A_38 = 3.1050E-01, Δφ_38 = -1.5605E+00
A_39 = 2.9263E-01, Δφ_39 = -1.5196E+00
A_40 = 2.8669E-01, Δφ_40 = -1.5295E+00
A_41 = 2.8192E-01, Δφ_41 = -1.5346E+00
A_42 = 2.7384E-01, Δφ_42 = -1.5476E+00
A_43 = 2.6659E-01, Δφ_43 = -1.5227E+00
A_44 = 2.6042E-01, Δφ_44 = -1.5329E+00
A_45 = 2.5868E-01, Δφ_45 = -1.5380E+00
A_46 = 2.5209E-01, Δφ_46 = -1.5563E+00
A_47 = 2.4483E-01, Δφ_47 = -1.5399E+00
A_48 = 2.3939E-01, Δφ_48 = -1.5382E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
